district,very_dense_forest,mod_dense_forest,open_forest,total_forest_cover,scrub
84,2.31,0.0,0.09,0.48,0.0
85,10.57,0.0,0.3,0.62,0.0
86,5.04,0.0,0.0,1.05,0.0
87,45.62,0.0,0.33,13.93,0.0
88,8.28,0.0,0.02,0.31,0.0
89,2.99,0.0,0.13,0.52,0.0
90,9.88,0.0,0.04,1.64,0.0
91,10.58,0.0,0.13,1.2,0.0
92,14.48,0.0,0.0,0.46,0.0
93,3.4,0.0,0.2,0.13,0.0
94,8.18,0.0,0.0,1.18,0.0
95,7.41,0.0,0.05,0.04,0.0
96,10.34,0.0,0.43,1.58,0.0
97,22.25,0.0,0.22,8.97,0.12
98,10.67,0.0,0.14,1.62,0.0
99,3.28,0.0,0.0,1.04,0.0
100,3.19,0.0,0.0,0.26,0.0
101,6.92,0.0,0.18,1.17,0.03
102,140.3,0.66,2.22,12.33,0.0
103,7.38,0.0,0.37,0.74,0.0
104,11.08,0.0,0.0,0.09,0.0
105,10.42,0.0,0.4,1.0,0.0
106,35.06,0.0,0.44,3.82,0.0
107,12.71,0.0,0.0,5.56,0.15
Araria,0.0,7.87,138.77,146.64,0.4
Arwal,0.0,1.44,2.58,4.02,0.0
Aurangabad,0.0,65.56,92.22,157.78,14.01
Banka,0.09,100.62,194.81,295.52,32.45
Begusarai,0.0,28.03,51.47,79.5,0.0
Bhagalpur,0.0,64.53,38.78,103.31,0.0
Bhojpur,0.0,19.23,12.34,31.57,0.53
Buxar,0.0,3.04,2.97,6.01,0.0
Darbhanga,0.0,44.17,100.06,144.23,0.0
East Champaran,0.0,66.48,120.94,187.42,0.0
Gaya,0.0,134.25,488.24,622.49,63.08
Gopalganj,0.0,4.68,6.62,11.3,0.0
Jamui,27.78,352.66,290.4,670.84,14.79
Jehanabad,0.0,0.06,6.04,6.1,3.07
Kaimur (Bhabua),0.0,526.0,499.68,1025.68,38.5
Katihar,0.0,6.5,58.89,65.39,0.0
Khagaria,0.0,2.81,14.81,17.62,0.0
Kishanganj,0.0,12.28,82.99,95.27,0.0
Lakhisarai,16.16,126.61,26.77,169.54,4.18
Madhepura,0.0,1.38,58.63,60.01,0.0
Madhubani,0.0,42.19,189.99,232.18,0.0
Munger,39.19,240.65,26.17,306.01,9.04
Muzaffarpur,0.0,53.48,122.28,175.76,0.0
Nalanda,0.0,10.37,34.44,44.81,5.59
Nawada,0.0,199.53,306.77,506.3,21.47
Patna,0.0,19.9,8.47,28.37,0.09
Purnia,0.0,5.34,55.34,60.68,0.0
Rohtas,0.0,350.25,317.81,668.06,43.42
Saharsa,0.0,3.98,31.85,35.83,0.0
Samastipur,0.0,101.81,47.43,149.24,0.0
Saran,0.0,25.53,37.26,62.79,0.0
Sheikhpura,0.0,0.64,0.18,0.82,0.0
Sheohar,0.0,2.21,28.22,30.43,0.0
Sitamarhi,0.0,37.81,114.09,151.9,0.0
Siwan,0.0,2.51,6.9,9.41,0.0
Supaul,0.0,4.26,138.2,142.46,0.0
Vaishali,0.0,88.3,30.63,118.93,0.0
West Champaran,303.78,527.25,77.2,908.23,10.18
Tirhut,0.0,53.26,122.62,175.88,0.0
Vaishali,0.0,88.09,30.45,118.54,0.0
not fall in any,0.75,22.61,11.14,34.5,8.98
Balod,45.21,505.84,192.66,743.71,18.17
Balrampur,450.29,1514.96,1169.21,3134.46,16.24
Bastar,604.45,841.72,653.74,2099.91,43.7
Bemetara,0.0,0.0,7.51,7.51,0.4
Bijapur,2261.46,3232.24,1599.07,7092.77,4.4
Bilaspur,19.57,438.71,222.19,680.47,19.02
Dantewada,80.07,653.98,561.35,1295.4,3.81
Dhamtari,101.06,1332.73,427.28,1861.07,11.13
Durg,0.0,3.43,22.0,25.43,1.7
Gariaband,5.64,1718.81,852.7,2577.15,13.93
Janjgir - Champa,4.93,21.39,126.29,152.61,14.97
Jashpur,228.47,1314.76,583.86,2127.09,20.38
Kondagaon,326.2,1258.34,580.96,2165.5,7.35
Korba,265.48,2243.79,887.04,3396.31,88.95
Korea,88.94,2571.52,1447.58,4108.04,59.34
Mahasamund,3.75,513.31,429.85,946.91,28.5
Mungeli,374.68,585.74,78.1,1038.52,5.38
Narayanpur,952.91,1409.3,819.75,3181.96,12.72
Raigarh,309.08,1512.32,796.5,2617.9,26.75
Raipur,0.0,11.39,35.32,46.71,7.03
Rajnandgaon,41.59,1747.65,751.71,2540.95,47.14
Sukma,215.52,1689.31,1345.38,3250.21,27.09
Surajpur,182.38,1484.38,860.93,2527.69,24.62
Surguja,87.34,907.29,435.45,1430.08,24.73
Central Delhi,0.01,5.11,7.05,12.17,0.14
East Delhi,0.0,0.29,1.64,1.93,0.0
New Delhi,2.71,13.84,32.09,48.64,0.47
North Delhi,0.02,5.34,6.36,11.72,0.05
North-East Delhi,0.0,0.36,2.02,2.38,0.05
North-West Delhi,0.08,2.88,2.76,5.72,0.0
Shahdara,0.0,0.25,0.65,0.9,0.0
South Delhi,2.99,13.95,53.95,70.89,1.6
South-East Delhi,0.66,4.65,14.23,19.54,0.0
South-West Delhi,0.0,3.24,9.41,12.65,0.08
West Delhi,0.0,3.64,5.1,8.74,0.0
Ahmedabad,0.0,9.0,106.2,115.2,28.37
Amreli,0.12,68.51,212.11,280.74,66.04
Anand,0.0,8.49,47.52,56.01,1.77
Arvalli,0.86,63.13,215.55,279.54,32.57
Banaskantha,0.0,343.49,469.02,812.51,133.25
Bharuch,0.0,51.27,247.71,298.98,17.83
Bhavnagar,0.0,46.87,256.12,302.99,82.68
Botad,0.0,0.26,12.32,12.58,5.51
Chhotaudepur,0.0,121.01,332.8,453.81,8.07
Dahod,0.43,105.34,336.77,442.54,25.38
Dang,209.76,703.05,352.28,1265.09,9.0
Gandhinagar,0.0,17.38,97.37,114.75,15.05
Gir Somnath,0.01,35.47,227.35,262.83,19.85
Jamnagar,0.0,51.62,257.35,308.97,88.57
Junagadh,61.92,881.83,582.78,1526.53,71.85
Kachchh,0.04,278.38,2453.48,2731.9,958.59
Kheda,0.0,6.95,54.66,61.61,19.92
Mahesana,0.0,12.96,168.66,181.62,22.15
Mahisagar,0.03,69.65,224.15,293.83,28.45
Morbi,0.0,3.44,142.99,146.43,25.09
Narmada,19.74,417.48,416.96,854.18,23.0
Navsari,17.07,110.9,205.65,333.62,9.41
Panchmahals,0.0,119.1,273.01,392.11,21.15
Patan,0.0,11.62,100.95,112.57,41.94
Porbandar,0.0,21.56,122.29,143.85,38.74
Rajkot,0.0,1.02,59.05,60.07,21.96
Sabarkantha,27.83,251.42,280.42,559.67,77.01
Surat,4.62,277.32,213.92,495.86,13.07
Surendranagar,0.0,10.58,134.75,145.33,36.6
Tapi,77.28,431.39,208.77,717.44,5.57
Vadodara,0.0,19.7,131.32,151.02,19.38
Valsad,0.0,323.96,577.76,901.72,20.94
Ambala,0.0,17.31,39.36,56.67,0.09
Bhiwani,0.0,4.08,58.53,62.61,7.15
Charkhi Dadri,0.0,3.56,42.36,45.92,9.0
Faridabad,0.0,25.98,52.45,78.43,20.2
Fatehabad,0.0,2.96,18.35,21.31,1.07
Gurugram,0.0,31.85,81.26,113.11,20.42
Hisar,0.0,10.75,47.79,58.54,6.28
Jhajjar,0.0,0.23,25.33,25.56,6.43
Jind,0.0,4.79,21.64,26.43,0.08
Kaithal,0.0,21.51,32.81,54.32,0.95
Karnal,0.0,4.16,28.79,32.95,0.67
Kurukshetra,0.0,19.94,26.09,46.03,1.69
Mahendragarh,0.0,21.74,89.57,111.31,40.09
Mewat,0.0,13.58,95.38,108.96,27.15
Palwal,0.0,2.43,11.39,13.82,0.2
Panchkula,5.7,147.59,236.83,390.12,20.33
Panipat,0.0,3.1,12.87,15.97,0.64
Rewari,0.0,11.9,49.55,61.45,9.11
Rohtak,0.0,1.36,13.18,14.54,1.02
Sirsa,0.0,3.54,61.04,64.58,0.15
Sonipat,0.0,2.66,19.98,22.64,0.84
Yamunanagar,21.47,86.16,81.36,188.99,0.82
1,9.15,0.0,0.0,0.21,0.11
2,67.56,0.0,0.11,1.38,0.0
3,56.27,0.0,1.44,0.82,0.0
4,7.54,0.0,0.0,0.07,0.0
5,2.03,0.0,0.0,0.0,0.0
6,29.29,0.0,0.0,0.37,0.0
7,13.89,0.0,0.0,0.21,0.0
8,9.34,0.0,0.0,0.06,0.02
9,3.76,0.0,0.0,0.11,0.0
10,9.87,0.0,0.0,0.24,0.0
11,1.29,0.0,0.0,0.0,0.0
12,40.52,0.0,0.0,0.73,0.05
13,4.25,0.0,0.0,0.01,0.0
14,15.8,0.0,0.19,0.55,0.3
15,31.05,0.0,0.0,0.44,0.0
16,11.51,0.0,0.0,0.06,0.0
17,5.91,0.0,0.0,0.14,0.0
18,285.89,0.0,12.4,32.81,17.07
19,20.21,0.0,0.01,0.13,0.0
20,28.15,0.0,0.0,0.0,0.0
21,5.69,0.0,0.0,0.12,0.0
22,10.36,0.0,0.0,0.16,0.0
23,12.96,0.0,0.02,0.06,0.0
24,12.31,0.0,0.07,0.02,0.0
25,297.99,0.0,8.73,28.78,7.01
26,13.53,0.0,0.0,0.52,0.0
27,4.1,0.0,0.0,0.08,0.0
28,92.92,0.0,1.66,2.26,0.28
29,10.8,0.0,0.09,0.0,0.0
30,1.88,0.0,0.0,0.07,0.0
31,11.98,0.0,0.0,0.0,0.0
32,2.67,0.0,0.0,0.0,0.0
33,35.57,0.0,0.0,0.66,0.12
34,37.5,0.0,0.6,0.55,0.0
35,13.85,0.0,0.0,0.03,0.0
36,39.87,0.0,0.69,0.08,0.0
37,6.92,0.0,0.0,0.01,0.0
38,7.96,0.0,0.35,0.11,0.0
39,12.68,0.0,0.0,0.36,0.0
40,56.94,0.0,5.64,11.07,0.46
41,4.39,0.0,0.0,0.0,0.0
42,90.92,0.0,0.23,4.21,0.0
43,4.41,0.0,0.0,0.0,0.0
